account_id,customer_id,branch_id,account_type,open_date,status,current_balance,interest_rate
AC00000001,CU00004904,BR006,Current,2023-10-06,Active,284900.0,0.0
AC00000002,CU00002043,BR003,Salary,2026-03-04,Active,113904.97,2.5
AC00000003,CU00002912,BR015,Savings,2025-06-09,Active,19388.39,2.7
AC00000004,CU00003371,BR017,Savings,2018-07-06,Active,10153.13,2.7
AC00000005,CU00004625,BR004,Salary,2023-06-03,Active,125355.91,2.5
AC00000006,CU00002249,BR015,Fixed Deposit,2024-10-22,Active,129830.97,7.1
AC00000007,CU00002075,BR022,Savings,2023-07-31,Active,25344.4,2.7
AC00000008,CU00004494,BR014,Current,2024-11-11,Active,19072.88,0.0
AC00000009,CU00004506,BR002,Current,2026-03-22,Active,18489.08,0.0
AC00000010,CU00001244,BR013,Savings,2021-08-11,Active,143347.36,2.7
AC00000011,CU00001325,BR018,Savings,2025-11-03,Active,61668.66,2.7
AC00000012,CU00001014,BR009,Fixed Deposit,2025-09-06,Active,206382.35,7.1
AC00000013,CU00004468,BR015,Salary,2018-11-01,Active,32745.13,2.5
AC00000014,CU00002837,BR006,Savings,2024-07-06,Active,10274.97,2.7
AC00000015,CU00002896,BR018,Salary,2018-08-02,Active,45383.06,2.5
AC00000016,CU00003408,BR012,Savings,2020-12-03,Active,21500.6,2.7
AC00000017,CU00003157,BR017,Savings,2020-05-14,Active,8497.3,2.7
AC00000018,CU00000918,BR001,Savings,2025-12-02,Active,50945.64,2.7
AC00000019,CU00001731,BR023,Savings,2019-12-24,Active,31890.83,2.7
AC00000020,CU00002778,BR007,Savings,2018-09-09,Active,47058.93,2.7
AC00000021,CU00003786,BR017,Current,2023-04-17,Active,85195.32,0.0
AC00000022,CU00003536,BR020,Current,2021-01-12,Active,29605.11,0.0
AC00000023,CU00004110,BR005,Fixed Deposit,2018-08-02,Active,857574.95,7.1
AC00000024,CU00000213,BR024,Salary,2024-11-21,Active,17240.68,2.5
AC00000025,CU00003854,BR008,Savings,2021-02-28,Active,56263.36,2.7
AC00000026,CU00001498,BR004,Salary,2020-04-14,Active,18746.14,2.5
AC00000027,CU00004109,BR014,Savings,2022-01-11,Active,51730.17,2.7
AC00000028,CU00001933,BR007,Fixed Deposit,2024-06-28,Active,50633.9,7.1
AC00000029,CU00003381,BR024,Savings,2025-11-12,Dormant,11737.61,2.7
AC00000030,CU00000940,BR006,Savings,2024-05-15,Active,4322.35,2.7
AC00000031,CU00004390,BR004,Savings,2025-09-21,Active,115315.73,2.7
AC00000032,CU00001456,BR003,Savings,2018-08-31,Active,19524.01,2.7
AC00000033,CU00004784,BR018,Savings,2020-08-23,Active,59378.08,2.7
AC00000034,CU00002007,BR014,Savings,2021-04-20,Active,33108.21,2.7
AC00000035,CU00001150,BR012,Savings,2018-08-27,Active,50107.96,2.7
AC00000036,CU00003342,BR024,Current,2024-02-21,Dormant,48677.36,0.0
AC00000037,CU00000109,BR018,Fixed Deposit,2021-10-14,Active,146597.56,7.1
AC00000038,CU00001278,BR017,Savings,2023-08-27,Active,19414.87,2.7
AC00000039,CU00000652,BR011,Savings,2021-01-27,Active,5468.99,2.7
