card_id,customer_id,card_type,credit_limit,current_outstanding,status
CD00000001,CU00003237,Gold,200000,11835.73,Active
CD00000002,CU00004144,Gold,500000,3705.23,Active
CD00000003,CU00001773,Classic,500000,1698.3,Active
CD00000004,CU00002150,Platinum,350000,22141.51,Active
CD00000005,CU00004520,Gold,50000,29029.01,Active
CD00000006,CU00000156,Business,500000,64354.6,Active
CD00000007,CU00004414,Classic,200000,1233.11,Active
CD00000008,CU00004220,Business,500000,21600.14,Active
CD00000009,CU00001500,Classic,200000,86394.88,Active
CD00000010,CU00000623,Business,500000,6722.95,Active
CD00000011,CU00004370,Classic,500000,1583.45,Active
CD00000012,CU00000440,Gold,200000,9124.93,Active
CD00000013,CU00004687,Classic,500000,7075.57,Active
CD00000014,CU00003432,Classic,100000,5791.93,Active
CD00000015,CU00001029,Classic,50000,7533.57,Active
CD00000016,CU00001609,Classic,200000,6799.69,Active
CD00000017,CU00000376,Gold,100000,4201.96,Active
CD00000018,CU00003940,Classic,200000,11614.94,Active
CD00000019,CU00003947,Classic,500000,34116.05,Active
CD00000020,CU00000244,Platinum,50000,3196.19,Active
CD00000021,CU00003876,Classic,100000,1974.33,Active
CD00000022,CU00002729,Business,350000,84825.88,Active
CD00000023,CU00001232,Gold,200000,61305.41,Active
CD00000024,CU00004528,Classic,100000,1483.96,Active
CD00000025,CU00001048,Gold,500000,13413.07,Active
CD00000026,CU00000689,Gold,350000,2011.28,Active
CD00000027,CU00002834,Gold,100000,7365.59,Active
CD00000028,CU00001919,Classic,500000,67372.52,Blocked
CD00000029,CU00004175,Business,350000,20421.9,Active
CD00000030,CU00000767,Platinum,50000,9429.89,Active
CD00000031,CU00001406,Platinum,200000,12102.31,Active
CD00000032,CU00001897,Platinum,500000,1822.02,Active
CD00000033,CU00004887,Business,200000,3166.78,Active
CD00000034,CU00004405,Platinum,350000,11419.0,Active
CD00000035,CU00004396,Platinum,50000,1231.59,Active
CD00000036,CU00000448,Business,200000,8399.35,Active
CD00000037,CU00003219,Platinum,100000,5398.28,Active
CD00000038,CU00003623,Classic,350000,13463.49,Active
CD00000039,CU00000536,Gold,350000,2808.44,Active
CD00000040,CU00003901,Business,350000,52296.13,Active
CD00000041,CU00002641,Classic,350000,5464.31,Active
CD00000042,CU00001345,Business,200000,30459.74,Active
CD00000043,CU00002877,Classic,350000,7204.47,Active
CD00000044,CU00001182,Business,200000,1750.66,Active
CD00000045,CU00001881,Classic,100000,7279.44,Active
CD00000046,CU00002852,Gold,350000,3727.62,Active
CD00000047,CU00002154,Classic,100000,28861.24,Active
CD00000048,CU00003188,Classic,200000,3533.55,Active
CD00000049,CU00002881,Gold,350000,15349.6,Active
CD00000050,CU00002900,Gold,200000,13430.54,Active
CD00000051,CU00004113,Gold,500000,11767.49,Active
CD00000052,CU00001337,Gold,200000,1623.54,Active
CD00000053,CU00002810,Classic,200000,6809.28,Active
CD00000054,CU00004198,Classic,500000,3866.89,Active
CD00000055,CU00004775,Platinum,50000,5187.39,Closed
CD00000056,CU00002270,Classic,50000,3013.96,Active
CD00000057,CU00000879,Platinum,200000,7963.08,Active
CD00000058,CU00000652,Business,350000,4726.58,Active
CD00000059,CU00003783,Classic,100000,21594.91,Active
CD00000060,CU00000828,Classic,100000,2667.34,Active
CD00000061,CU00000551,Platinum,50000,3497.22,Active
CD00000062,CU00001218,Platinum,350000,19899.37,Active
CD00000063,CU00000874,Platinum,500000,3163.62,Active
CD00000064,CU00003326,Classic,100000,4118.09,Active
CD00000065,CU00001193,Platinum,200000,17876.08,Active
CD00000066,CU00002343,Gold,100000,4400.95,Active
CD00000067,CU00001814,Business,200000,3727.36,Active
CD00000068,CU00001972,Classic,200000,1906.36,Active
