case_id,transaction_id,opened_date,case_status,confirmed_fraud,loss_amount
FC00000001,TX0000029722,2026-04-27,Closed,1,1543.91
FC00000002,TX0000028937,2026-01-28,Closed,1,74056.64
FC00000003,TX0000002432,2025-10-31,Under Review,1,211528.79
FC00000004,TX0000037548,2026-05-31,Closed,0,0.0
FC00000005,TX0000051260,2026-07-09,Closed,0,0.0
FC00000006,TX0000055713,2025-09-24,Closed,0,0.0
FC00000007,TX0000015705,2026-01-05,Closed,0,0.0
FC00000008,TX0000068053,2026-06-02,Closed,0,0.0
FC00000009,TX0000111473,2025-12-19,Closed,0,0.0
FC00000010,TX0000109790,2026-08-03,Closed,0,0.0
FC00000011,TX0000040272,2026-05-24,Closed,0,0.0
FC00000012,TX0000036493,2025-09-21,Closed,0,0.0
FC00000013,TX0000094347,2026-08-12,Under Review,0,0.0
FC00000014,TX0000049191,2026-07-04,Closed,0,0.0
FC00000015,TX0000010199,2026-03-05,Closed,0,0.0
FC00000016,TX0000029932,2026-06-25,Closed,0,0.0
FC00000017,TX0000092652,2026-05-23,Closed,0,0.0
FC00000018,TX0000100787,2026-02-01,Closed,0,0.0
