interaction_id,customer_id,interaction_date,channel,reason,resolution_hours,satisfaction_score
IN00000001,CU00003135,2026-04-18,Branch,Loan enquiry,23.2,3
IN00000002,CU00001305,2026-01-14,Email,Digital help,26.85,4
IN00000003,CU00002819,2025-07-07,App,Complaint,10.0,2
IN00000004,CU00002409,2026-08-03,Email,KYC,12.27,5
IN00000005,CU00000974,2026-04-22,Branch,Complaint,21.1,5
IN00000006,CU00003913,2025-03-31,Call Centre,Service request,46.07,4
IN00000007,CU00001028,2025-08-18,Chat,KYC,26.02,5
IN00000008,CU00001445,2024-12-19,Call Centre,Service request,8.48,3
IN00000009,CU00001907,2024-11-22,Call Centre,KYC,20.59,5
IN00000010,CU00004394,2024-12-07,App,Loan enquiry,3.48,4
IN00000011,CU00002235,2024-11-02,Call Centre,Card issue,7.63,5
IN00000012,CU00004278,2025-09-02,Chat,Service request,35.13,3
IN00000013,CU00000138,2026-05-12,Chat,Digital help,18.49,5
IN00000014,CU00002373,2026-08-09,App,Service request,8.49,4
IN00000015,CU00001102,2026-03-30,Chat,Card issue,10.56,3
IN00000016,CU00002219,2026-02-06,Call Centre,Card issue,23.38,3
IN00000017,CU00001209,2024-12-27,Chat,Digital help,31.57,5
IN00000018,CU00000458,2026-01-26,Chat,Digital help,18.33,3
IN00000019,CU00004747,2025-11-11,Email,Loan enquiry,6.21,4
IN00000020,CU00001879,2026-03-27,Chat,Loan enquiry,37.55,4
IN00000021,CU00004107,2026-02-15,Email,KYC,51.45,3
IN00000022,CU00003932,2025-10-10,Chat,Loan enquiry,14.96,5
IN00000023,CU00002246,2025-10-08,Branch,Digital help,11.55,5
IN00000024,CU00001781,2026-01-02,Call Centre,Loan enquiry,29.51,4
IN00000025,CU00000062,2025-08-11,Email,Card issue,23.48,4
IN00000026,CU00004514,2026-02-20,Email,Loan enquiry,13.48,5
IN00000027,CU00003663,2025-11-29,Email,Loan enquiry,8.26,5
IN00000028,CU00004392,2026-04-13,Call Centre,Card issue,24.48,2
IN00000029,CU00000760,2025-07-30,Call Centre,Loan enquiry,6.34,4
IN00000030,CU00002950,2025-01-04,App,Loan enquiry,5.53,5
IN00000031,CU00002743,2025-03-08,Branch,Card issue,18.36,5
IN00000032,CU00004168,2025-07-22,Chat,Card issue,51.61,5
IN00000033,CU00002981,2025-01-05,App,KYC,25.05,4
IN00000034,CU00002061,2026-08-18,Chat,Digital help,17.59,4
IN00000035,CU00004823,2025-08-22,Email,KYC,15.68,4
IN00000036,CU00000645,2024-10-28,Email,Complaint,34.56,3
IN00000037,CU00003718,2024-12-10,App,KYC,44.88,5
IN00000038,CU00000860,2026-01-28,Email,Complaint,69.72,5
IN00000039,CU00002266,2025-05-02,Email,Digital help,7.36,3
IN00000040,CU00001729,2026-01-25,Email,Card issue,30.67,3
IN00000041,CU00001074,2025-05-29,App,Service request,35.83,3
IN00000042,CU00001301,2025-08-31,Chat,Card issue,29.63,4
IN00000043,CU00003420,2026-07-08,Chat,KYC,14.0,4
IN00000044,CU00001941,2025-04-10,Call Centre,KYC,26.45,5
IN00000045,CU00003040,2025-01-02,Call Centre,Service request,12.61,5
IN00000046,CU00002707,2025-06-09,App,KYC,32.86,4
IN00000047,CU00004932,2025-04-12,Email,Service request,17.96,3
IN00000048,CU00002262,2025-03-12,Branch,KYC,10.01,4
IN00000049,CU00002880,2026-02-20,Call Centre,Complaint,15.89,3
IN00000050,CU00003407,2025-07-19,Call Centre,Service request,9.13,5
IN00000051,CU00004365,2025-07-24,Branch,Card issue,2.57,4
IN00000052,CU00003462,2026-06-11,App,Loan enquiry,26.6,3
IN00000053,CU00004427,2026-03-14,App,KYC,8.94,5
IN00000054,CU00004714,2025-11-23,App,Complaint,4.22,5
IN00000055,CU00004179,2026-01-05,Chat,KYC,29.53,4
IN00000056,CU00000198,2026-07-10,Branch,KYC,14.37,2
IN00000057,CU00002431,2026-06-22,Branch,Digital help,13.75,5
IN00000058,CU00001945,2025-10-02,Chat,KYC,22.68,5
IN00000059,CU00001266,2026-03-13,App,Card issue,4.54,3
IN00000060,CU00003679,2026-06-12,App,Loan enquiry,9.47,3
IN00000061,CU00004881,2026-04-27,Chat,Digital help,15.6,5
IN00000062,CU00001171,2026-03-02,Email,Loan enquiry,23.5,5
IN00000063,CU00003214,2026-03-21,Branch,Complaint,43.54,5
IN00000064,CU00002275,2025-07-30,Call Centre,Digital help,7.88,5
IN00000065,CU00003287,2026-08-10,App,Loan enquiry,2.98,4
IN00000066,CU00000133,2025-12-31,App,Card issue,8.63,3
IN00000067,CU00000538,2025-01-17,Branch,Service request,27.46,5
IN00000068,CU00003275,2026-08-02,Call Centre,Digital help,20.15,4
IN00000069,CU00003105,2024-12-19,Email,Service request,9.05,4
IN00000070,CU00004975,2025-05-14,Branch,Loan enquiry,15.52,4
IN00000071,CU00003707,2026-03-30,Call Centre,Complaint,34.49,4
IN00000072,CU00001921,2025-02-19,Email,Loan enquiry,18.06,4
IN00000073,CU00002769,2025-09-30,Email,Complaint,13.07,5
IN00000074,CU00003063,2026-05-25,Email,Card issue,31.43,4
IN00000075,CU00004354,2026-08-13,Chat,Complaint,44.44,5
IN00000076,CU00003941,2025-11-26,Chat,Card issue,1.4,5
IN00000077,CU00002031,2025-12-07,Email,Complaint,32.43,4
IN00000078,CU00000746,2025-11-12,Call Centre,Card issue,10.54,4
IN00000079,CU00000494,2025-10-13,Branch,Complaint,34.36,5
IN00000080,CU00002508,2024-12-30,Branch,Card issue,3.54,3
IN00000081,CU00001232,2026-05-30,Chat,Card issue,28.76,5
IN00000082,CU00001454,2025-11-20,Email,KYC,6.88,5
IN00000083,CU00000887,2025-03-08,Chat,Digital help,52.74,2
IN00000084,CU00002073,2026-03-05,Email,Service request,7.66,4
IN00000085,CU00004451,2025-02-08,Branch,Card issue,6.53,5
IN00000086,CU00004268,2024-12-03,App,KYC,7.32,5
IN00000087,CU00003149,2025-12-24,Call Centre,KYC,14.04,5
IN00000088,CU00001668,2026-08-30,Chat,Loan enquiry,2.36,4
IN00000089,CU00003704,2024-09-08,Call Centre,Complaint,6.02,5
IN00000090,CU00004115,2025-10-27,Call Centre,Digital help,11.31,4
IN00000091,CU00002987,2025-04-25,Branch,KYC,7.58,3
IN00000092,CU00000229,2025-03-24,Chat,KYC,44.14,4
IN00000093,CU00001359,2025-04-28,Branch,Complaint,26.12,4
IN00000094,CU00001754,2025-01-30,App,KYC,53.73,1
IN00000095,CU00002552,2025-09-04,Email,Complaint,14.66,3
IN00000096,CU00003668,2025-10-19,Branch,Card issue,32.11,5
IN00000097,CU00003448,2026-04-13,Chat,Complaint,24.88,5
IN00000098,CU00004565,2025-12-16,Branch,Service request,26.75,5
IN00000099,CU00000649,2025-10-14,Email,Loan enquiry,45.93,4
IN00000100,CU00003542,2025-04-10,Branch,KYC,6.49,5
IN00000101,CU00002485,2025-05-31,Branch,Loan enquiry,16.93,4
IN00000102,CU00000508,2026-01-05,Email,Loan enquiry,8.6,4
IN00000103,CU00003761,2026-03-05,Call Centre,Loan enquiry,4.84,4
IN00000104,CU00001415,2025-05-19,App,Loan enquiry,34.66,4
IN00000105,CU00002949,2024-09-19,Call Centre,Complaint,16.09,4
IN00000106,CU00004308,2025-09-14,Chat,Card issue,19.93,3
IN00000107,CU00004653,2025-03-10,Email,Service request,6.61,5
IN00000108,CU00001207,2025-09-21,App,Digital help,11.61,4
IN00000109,CU00001024,2025-12-07,Email,Digital help,13.29,4
IN00000110,CU00003377,2025-02-26,Branch,Complaint,65.42,4
IN00000111,CU00000216,2025-04-07,Branch,Loan enquiry,16.34,4
IN00000112,CU00001047,2024-12-27,Email,Complaint,3.3,4
IN00000113,CU00004795,2026-07-14,Call Centre,Service request,9.77,4
IN00000114,CU00003633,2025-08-31,Email,Card issue,17.52,3
IN00000115,CU00000065,2025-07-08,Chat,KYC,25.87,4
IN00000116,CU00004134,2025-10-14,Email,KYC,26.91,3
IN00000117,CU00002002,2024-11-08,Chat,Card issue,14.47,4
IN00000118,CU00004413,2025-07-31,Call Centre,Complaint,32.11,2
IN00000119,CU00000663,2025-05-31,Chat,Complaint,25.95,4
IN00000120,CU00002185,2025-04-30,App,Card issue,29.94,3
IN00000121,CU00003728,2025-09-27,Call Centre,Digital help,2.22,4
IN00000122,CU00004092,2025-05-02,App,Card issue,7.34,4
IN00000123,CU00004257,2026-02-08,Chat,Card issue,9.26,4
IN00000124,CU00002447,2025-06-20,App,Service request,39.83,5
IN00000125,CU00002141,2025-03-29,Chat,Digital help,6.19,4
IN00000126,CU00004496,2025-07-11,Email,Service request,15.53,5
IN00000127,CU00002003,2026-02-16,Call Centre,Loan enquiry,33.95,4
IN00000128,CU00000959,2024-11-08,Branch,Card issue,5.15,1
IN00000129,CU00000277,2025-08-24,Email,Service request,7.75,5
IN00000130,CU00001412,2024-11-08,Call Centre,Digital help,11.84,5
IN00000131,CU00004712,2026-02-02,Chat,KYC,10.4,3
IN00000132,CU00001379,2025-09-28,Call Centre,KYC,22.76,5
IN00000133,CU00001361,2025-02-04,Branch,Digital help,9.88,5
IN00000134,CU00003570,2024-12-31,Chat,Complaint,30.38,5
IN00000135,CU00001731,2024-12-17,App,KYC,14.26,4
IN00000136,CU00001050,2025-12-17,Chat,Card issue,3.09,4
IN00000137,CU00004525,2026-08-04,Call Centre,Complaint,2.88,2
IN00000138,CU00003728,2025-03-07,Call Centre,Loan enquiry,2.72,5
IN00000139,CU00003533,2026-08-03,Chat,Service request,38.66,5
IN00000140,CU00001249,2026-01-12,Branch,Service request,29.78,5
IN00000141,CU00000352,2026-07-12,Branch,Card issue,14.95,1
IN00000142,CU00001802,2025-03-17,Chat,Card issue,15.79,3
IN00000143,CU00002788,2025-09-17,Call Centre,Complaint,16.46,5
IN00000144,CU00002693,2025-09-20,Email,Card issue,35.22,4
IN00000145,CU00004997,2024-10-10,Email,Complaint,1.63,5
IN00000146,CU00001029,2026-04-30,Chat,Loan enquiry,17.57,5
IN00000147,CU00001398,2026-06-20,Email,Loan enquiry,30.69,4
IN00000148,CU00004419,2025-03-16,Branch,Card issue,10.77,3
IN00000149,CU00003365,2026-01-11,Call Centre,Card issue,34.24,3
IN00000150,CU00002202,2024-11-09,Email,Card issue,9.15,4
IN00000151,CU00002501,2025-09-23,Chat,Service request,9.35,5
IN00000152,CU00004078,2025-07-01,Branch,Loan enquiry,9.61,3
IN00000153,CU00001066,2025-01-04,Branch,KYC,15.42,3
IN00000154,CU00003994,2025-04-05,Chat,Card issue,21.88,2
IN00000155,CU00004819,2026-08-13,Email,Card issue,22.69,4
IN00000156,CU00004720,2025-09-04,Email,Card issue,10.53,5
IN00000157,CU00004264,2026-01-26,Call Centre,Card issue,20.41,1
IN00000158,CU00002298,2025-11-09,Email,Complaint,5.65,4
IN00000159,CU00002388,2026-08-12,Chat,Card issue,23.27,3
IN00000160,CU00003231,2026-08-15,App,Loan enquiry,21.2,5
IN00000161,CU00001794,2024-10-28,Email,KYC,8.84,5
IN00000162,CU00001562,2025-07-16,Chat,Service request,8.58,4
IN00000163,CU00003900,2025-05-22,Chat,Loan enquiry,27.64,4
IN00000164,CU00003938,2026-04-18,Email,Service request,7.95,4
IN00000165,CU00000288,2025-07-26,Chat,Digital help,24.25,2
IN00000166,CU00004699,2025-06-30,Chat,Card issue,17.75,3
IN00000167,CU00003710,2024-10-05,Call Centre,Service request,13.2,4
IN00000168,CU00004121,2026-01-19,App,Card issue,21.77,3
IN00000169,CU00000806,2025-09-17,Branch,Service request,21.88,4
IN00000170,CU00004989,2025-04-02,Branch,Complaint,4.99,3
IN00000171,CU00001384,2025-08-22,Call Centre,Loan enquiry,21.45,5
IN00000172,CU00003914,2025-12-04,Email,Digital help,13.92,4
IN00000173,CU00000246,2025-01-11,Email,Service request,7.41,4
IN00000174,CU00004556,2026-08-06,Branch,Service request,16.74,1
IN00000175,CU00001412,2026-03-13,Call Centre,Card issue,6.38,5
IN00000176,CU00002710,2025-10-16,Branch,Digital help,4.16,4
IN00000177,CU00000591,2026-06-28,Call Centre,KYC,10.84,4
IN00000178,CU00001028,2026-06-23,App,Card issue,24.0,2
IN00000179,CU00001452,2026-08-06,Email,Loan enquiry,6.06,2
IN00000180,CU00001697,2026-07-29,Email,Loan enquiry,11.78,5
IN00000181,CU00001851,2024-10-19,App,Digital help,10.25,5
