payment_id,loan_id,instalment_number,due_date,scheduled_amount,paid_amount,was_late
LP0000000001,LN00000001,1,2026-03-26,40393.62,36065.73,0
LP0000000002,LN00000001,2,2026-04-26,40393.62,36027.08,0
LP0000000003,LN00000001,3,2026-05-26,40393.62,40628.15,0
LP0000000004,LN00000001,4,2026-06-26,40393.62,38888.27,0
LP0000000005,LN00000001,5,2026-07-26,40393.62,42576.5,0
LP0000000006,LN00000001,6,2026-08-26,40393.62,39351.58,0
LP0000000007,LN00000002,1,2022-07-06,1637.72,1531.23,0
LP0000000008,LN00000002,2,2022-08-06,1637.72,1550.73,0
LP0000000009,LN00000002,3,2022-09-06,1637.72,1787.82,0
LP0000000010,LN00000002,4,2022-10-06,1637.72,1700.52,0
LP0000000011,LN00000002,5,2022-11-06,1637.72,1660.31,0
LP0000000012,LN00000002,6,2022-12-06,1637.72,1568.06,0
LP0000000013,LN00000002,7,2023-01-06,1637.72,1690.74,0
LP0000000014,LN00000002,8,2023-02-06,1637.72,1538.76,0
LP0000000015,LN00000002,9,2023-03-06,1637.72,1547.65,0
LP0000000016,LN00000002,10,2023-04-06,1637.72,1310.14,0
LP0000000017,LN00000002,11,2023-05-06,1637.72,1706.59,0
LP0000000018,LN00000002,12,2023-06-06,1637.72,1769.47,0
LP0000000019,LN00000002,13,2023-07-06,1637.72,1691.91,0
LP0000000020,LN00000002,14,2023-08-06,1637.72,1807.56,0
LP0000000021,LN00000002,15,2023-09-06,1637.72,1433.43,0
LP0000000022,LN00000002,16,2023-10-06,1637.72,1510.36,0
LP0000000023,LN00000002,17,2023-11-06,1637.72,1717.49,0
LP0000000024,LN00000002,18,2023-12-06,1637.72,1586.26,0
LP0000000025,LN00000003,1,2022-09-14,1447.27,1442.86,0
LP0000000026,LN00000003,2,2022-10-14,1447.27,1409.67,0
LP0000000027,LN00000003,3,2022-11-14,1447.27,1312.23,0
LP0000000028,LN00000003,4,2022-12-14,1447.27,1228.82,0
LP0000000029,LN00000003,5,2023-01-14,1447.27,1359.0,0
LP0000000030,LN00000003,6,2023-02-14,1447.27,1353.04,0
LP0000000031,LN00000003,7,2023-03-14,1447.27,1535.07,0
LP0000000032,LN00000003,8,2023-04-14,1447.27,1420.44,0
LP0000000033,LN00000003,9,2023-05-14,1447.27,1563.31,0
LP0000000034,LN00000003,10,2023-06-14,1447.27,1619.99,0
LP0000000035,LN00000003,11,2023-07-14,1447.27,1664.36,0
LP0000000036,LN00000003,12,2023-08-14,1447.27,1369.91,0
LP0000000037,LN00000003,13,2023-09-14,1447.27,1473.96,0
LP0000000038,LN00000003,14,2023-10-14,1447.27,1258.23,0
LP0000000039,LN00000003,15,2023-11-14,1447.27,1475.33,0
LP0000000040,LN00000003,16,2023-12-14,1447.27,1375.09,0
LP0000000041,LN00000003,17,2024-01-14,1447.27,1664.36,0
LP0000000042,LN00000003,18,2024-02-14,1447.27,1469.41,0
LP0000000043,LN00000004,1,2022-08-07,1568.36,1556.04,0
LP0000000044,LN00000004,2,2022-09-07,1568.36,1730.38,0
LP0000000045,LN00000004,3,2022-10-07,1568.36,1655.59,0
LP0000000046,LN00000004,4,2022-11-07,1568.36,1480.2,0
LP0000000047,LN00000004,5,2022-12-07,1568.36,1633.31,0
