loan_id,customer_id,branch_id,loan_type,origination_date,principal_amount,outstanding_amount,interest_rate,term_months,days_past_due,credit_score,loan_status
LN00000001,CU00004952,BR001,Education,2026-02-26,1454170.36,1041770.55,16.32,36,0,620,Current
LN00000002,CU00003156,BR009,Business,2022-06-06,196526.34,141420.4,17.98,120,0,711,Current
LN00000003,CU00001642,BR006,Home,2022-08-14,52101.66,40628.26,17.93,36,0,798,Current
LN00000004,CU00003782,BR021,Home,2022-07-07,376407.55,64315.8,18.74,240,0,717,Current
LN00000005,CU00004144,BR017,Education,2022-07-28,3417156.54,1903703.01,16.92,180,0,560,Current
LN00000006,CU00002781,BR007,Business,2023-12-13,917322.92,432003.01,7.86,180,0,761,Current
LN00000007,CU00003356,BR008,Business,2023-12-24,333837.65,131038.03,15.99,60,0,767,Current
LN00000008,CU00000418,BR008,Personal,2022-02-28,1219571.69,1093078.0,16.32,60,0,675,Current
LN00000009,CU00001967,BR015,Personal,2024-12-01,1886896.19,1243028.69,15.69,60,0,820,Current
LN00000010,CU00001054,BR002,Vehicle,2025-10-23,376965.32,285202.83,12.3,12,0,810,Current
LN00000011,CU00000732,BR007,Business,2022-11-29,368525.83,283619.97,17.88,12,0,694,Current
LN00000012,CU00000796,BR003,Vehicle,2021-12-24,222922.02,91590.73,16.36,120,0,620,Current
LN00000013,CU00002240,BR013,Personal,2026-01-01,329560.66,168504.79,10.46,36,0,712,Current
LN00000014,CU00001628,BR001,Vehicle,2026-03-23,141249.64,110334.11,17.34,120,0,763,Current
LN00000015,CU00004289,BR021,Home,2021-12-22,149839.43,23907.54,9.2,60,0,721,Current
LN00000016,CU00001652,BR018,Home,2024-10-30,2092016.86,1350767.72,17.89,36,0,741,Current
LN00000017,CU00002187,BR006,Vehicle,2024-10-29,3521878.17,1576775.11,18.91,36,0,647,Current
LN00000018,CU00002753,BR017,Home,2026-05-14,653540.54,127315.81,9.63,120,0,637,Current
LN00000019,CU00002135,BR019,Vehicle,2024-10-11,98982.13,38186.31,13.7,12,0,793,Current
LN00000020,CU00003734,BR004,Education,2025-12-01,264637.16,190465.91,17.24,24,0,629,Current
LN00000021,CU00001900,BR012,Home,2020-12-30,1616513.19,966156.2,18.37,180,0,703,Current
LN00000022,CU00002575,BR008,Home,2024-09-01,598810.53,233548.45,13.62,180,0,689,Current
LN00000023,CU00001831,BR023,Business,2021-09-16,1339151.14,1194921.43,9.71,240,0,651,Current
LN00000024,CU00000290,BR006,Home,2021-08-21,722750.63,393791.04,9.64,60,0,794,Current
LN00000025,CU00003634,BR006,Vehicle,2021-11-14,2676083.91,1760376.97,12.47,120,0,779,Current
LN00000026,CU00000391,BR005,Vehicle,2025-07-12,50000.0,34098.72,12.0,120,0,706,Current
LN00000027,CU00002770,BR021,Home,2020-12-28,550723.64,482489.13,13.2,24,0,557,Current
LN00000028,CU00000015,BR003,Education,2022-11-27,119618.56,58427.23,12.16,24,0,700,Current
LN00000029,CU00001014,BR003,Home,2026-04-06,128238.26,26898.04,8.42,24,0,763,Current
LN00000030,CU00003865,BR010,Home,2021-03-28,110544.11,59984.71,18.15,120,0,712,Current
LN00000031,CU00004416,BR018,Education,2024-09-05,1085801.6,784453.03,7.63,36,0,808,Current
LN00000032,CU00000963,BR010,Personal,2023-03-24,324610.76,244580.19,18.36,120,0,789,Current
LN00000033,CU00000151,BR022,Vehicle,2026-05-22,193164.83,46745.46,9.35,120,15,707,Current
LN00000034,CU00003713,BR003,Home,2021-12-23,673709.07,357722.91,9.98,12,120,656,Non-performing
LN00000035,CU00001769,BR024,Home,2023-11-06,50000.0,25256.22,10.37,12,0,656,Current
LN00000036,CU00000098,BR017,Vehicle,2025-02-24,225503.03,116661.56,17.76,60,30,751,Delinquent
LN00000037,CU00002127,BR003,Business,2023-09-03,75549.66,13452.0,8.46,60,0,588,Current
LN00000038,CU00002502,BR001,Business,2023-04-15,1103353.23,873787.4,11.62,36,0,716,Current
LN00000039,CU00000904,BR001,Personal,2023-03-23,1166650.22,320431.72,8.0,24,30,640,Delinquent
LN00000040,CU00001138,BR011,Vehicle,2022-04-30,532748.0,302484.38,8.18,60,0,692,Current
LN00000041,CU00002257,BR014,Home,2022-06-19,1233212.55,911789.27,9.46,240,60,683,Delinquent
LN00000042,CU00001169,BR015,Personal,2021-01-17,219506.54,107130.24,14.27,60,15,685,Current
LN00000043,CU00002677,BR007,Home,2023-09-20,287404.17,248599.07,19.23,240,0,777,Current
LN00000044,CU00002272,BR008,Home,2021-06-09,224620.76,137695.15,11.86,120,0,730,Current
LN00000045,CU00003083,BR019,Home,2023-06-15,2021246.61,799531.87,9.27,180,0,600,Current
LN00000046,CU00004166,BR024,Personal,2024-10-24,434910.07,167967.21,16.24,240,0,771,Current
LN00000047,CU00004098,BR001,Vehicle,2025-09-15,493304.98,435660.39,9.52,120,30,784,Delinquent
LN00000048,CU00004212,BR017,Personal,2021-11-17,537950.14,232165.45,16.56,120,0,834,Current
LN00000049,CU00001092,BR009,Business,2023-05-11,198081.39,128047.49,9.58,120,0,639,Current
LN00000050,CU00002208,BR009,Business,2021-12-23,355517.83,268041.19,16.08,240,0,725,Current
LN00000051,CU00002933,BR004,Home,2022-01-18,2500109.35,1266347.32,18.65,36,30,740,Delinquent
LN00000052,CU00003805,BR013,Home,2023-03-14,784062.84,579495.24,14.31,120,0,728,Current
LN00000053,CU00000100,BR005,Vehicle,2022-05-17,119271.73,40416.5,16.32,12,0,710,Current
LN00000054,CU00000360,BR018,Home,2024-12-03,420520.44,234374.22,11.6,36,0,849,Current
LN00000055,CU00001589,BR020,Business,2021-11-11,600921.01,137230.83,14.91,180,0,666,Current
LN00000056,CU00003498,BR004,Home,2023-07-04,1243487.95,609198.62,7.65,36,0,729,Current
LN00000057,CU00000942,BR005,Business,2026-06-26,115282.53,88278.03,17.72,12,0,689,Current
LN00000058,CU00003167,BR011,Business,2024-12-02,77901.11,20732.59,18.15,180,0,698,Current
LN00000059,CU00002426,BR004,Personal,2023-11-18,6580342.36,2865912.38,18.38,240,0,763,Current
LN00000060,CU00004132,BR003,Education,2020-10-03,3581596.75,767571.41,11.68,180,90,728,Non-performing
LN00000061,CU00000429,BR014,Business,2024-04-11,294447.96,274117.29,18.0,24,0,717,Current
LN00000062,CU00004533,BR007,Home,2022-11-14,91008.04,20417.9,9.01,24,120,739,Non-performing
LN00000063,CU00001917,BR013,Vehicle,2024-03-29,393626.8,367465.46,11.33,120,0,779,Current
LN00000064,CU00003819,BR014,Education,2020-12-21,587988.67,168569.61,12.13,24,0,683,Current
LN00000065,CU00000631,BR004,Personal,2024-09-25,150301.31,128809.16,17.18,60,15,755,Current
LN00000066,CU00003564,BR021,Personal,2021-06-18,86997.23,75140.76,18.06,120,90,824,Non-performing
LN00000067,CU00004577,BR019,Personal,2022-10-02,1093570.82,950225.26,14.67,240,0,685,Current
LN00000068,CU00004898,BR002,Home,2025-01-18,50000.0,17378.41,16.4,12,60,696,Delinquent
LN00000069,CU00001139,BR012,Business,2021-02-21,1043420.73,398490.7,19.25,36,0,659,Current
LN00000070,CU00001291,BR017,Business,2021-02-15,210119.92,85995.99,19.18,120,0,641,Current
LN00000071,CU00001322,BR001,Home,2021-02-03,240020.53,206864.15,16.61,12,30,611,Delinquent
LN00000072,CU00000073,BR004,Personal,2024-07-17,50000.0,37612.13,10.03,240,0,755,Current
LN00000073,CU00004461,BR019,Home,2020-09-10,2153674.35,1538099.93,15.22,24,0,850,Current
LN00000074,CU00000593,BR002,Business,2023-10-22,1149362.33,392541.18,11.46,24,30,786,Delinquent
LN00000075,CU00001067,BR022,Personal,2025-12-18,336511.09,148135.89,15.23,60,15,784,Current
LN00000076,CU00004276,BR015,Vehicle,2025-08-04,188539.4,39795.25,10.66,180,0,732,Current
LN00000077,CU00004426,BR023,Business,2022-10-18,463211.47,311505.67,12.98,120,0,850,Current
LN00000078,CU00000423,BR016,Business,2021-07-28,760945.03,674939.05,7.63,12,0,717,Current
LN00000079,CU00003491,BR023,Personal,2023-08-01,962064.59,600171.47,19.21,120,0,711,Current
LN00000080,CU00001348,BR017,Home,2021-05-20,300025.84,118216.12,19.42,180,30,670,Delinquent
LN00000081,CU00004499,BR017,Home,2021-07-23,2148641.42,1477411.83,10.88,180,0,614,Current
LN00000082,CU00003500,BR002,Vehicle,2022-07-09,220120.34,80646.92,11.87,180,30,719,Delinquent
LN00000083,CU00001078,BR002,Home,2021-07-31,175557.14,55128.07,18.9,240,0,744,Current
LN00000084,CU00002085,BR011,Home,2022-09-26,78128.56,15843.96,10.3,24,0,767,Current
LN00000085,CU00001981,BR004,Personal,2025-10-01,582475.77,222733.24,8.95,12,0,819,Current
LN00000086,CU00000295,BR016,Education,2024-05-19,431791.52,195289.71,18.7,120,0,707,Current
LN00000087,CU00002499,BR007,Home,2025-06-13,1230990.58,418121.31,10.74,120,15,726,Current
LN00000088,CU00001356,BR001,Personal,2024-03-20,256078.39,197350.63,7.83,60,60,640,Delinquent
LN00000089,CU00001926,BR015,Personal,2020-11-30,151549.58,37327.2,17.05,120,0,751,Current
LN00000090,CU00002778,BR019,Business,2022-01-02,54169.52,17801.8,17.15,24,0,712,Current
LN00000091,CU00000080,BR023,Personal,2023-09-12,242577.37,125060.99,11.86,24,0,665,Current
LN00000092,CU00000961,BR017,Education,2021-08-25,1192196.28,828954.9,13.53,120,90,685,Non-performing
LN00000093,CU00000686,BR018,Personal,2025-11-24,600427.02,373463.49,13.3,24,0,753,Current
LN00000094,CU00004551,BR013,Personal,2022-05-18,264562.03,94784.34,9.03,24,0,712,Current
LN00000095,CU00003662,BR018,Business,2026-04-03,758458.66,376553.74,12.91,180,0,751,Current
LN00000096,CU00001089,BR014,Vehicle,2026-05-12,189656.82,32062.3,15.05,120,0,839,Current
LN00000097,CU00004219,BR018,Home,2024-07-31,218069.06,26778.39,8.74,24,0,737,Current
LN00000098,CU00004757,BR007,Education,2024-06-17,285477.56,36102.65,16.8,180,0,850,Current
LN00000099,CU00002299,BR022,Vehicle,2022-11-16,585233.36,474165.05,15.38,240,0,775,Current
LN00000100,CU00000272,BR005,Home,2024-09-14,142553.42,76351.52,17.17,120,0,706,Current
LN00000101,CU00004269,BR004,Education,2022-09-12,454539.29,250635.07,18.22,12,0,724,Current
LN00000102,CU00002786,BR019,Personal,2020-12-18,2000622.9,520096.16,9.66,36,15,669,Current
LN00000103,CU00001252,BR023,Business,2024-03-26,2755348.85,537765.85,9.43,12,0,683,Current
LN00000104,CU00004040,BR006,Business,2021-12-06,967449.58,712145.4,10.47,12,0,661,Current
LN00000105,CU00000102,BR015,Education,2022-04-23,250272.83,182323.7,9.66,120,0,838,Current
LN00000106,CU00002701,BR007,Home,2022-07-12,122760.02,16146.37,18.88,240,0,683,Current
LN00000107,CU00003273,BR002,Home,2022-02-07,954536.41,473520.62,19.34,24,0,792,Current
LN00000108,CU00000551,BR001,Personal,2025-11-20,285082.84,245720.44,18.25,60,30,722,Delinquent
LN00000109,CU00002390,BR021,Education,2021-06-09,938608.76,804229.19,17.57,120,0,623,Current
LN00000110,CU00003352,BR012,Personal,2022-07-01,1278294.92,552628.3,10.11,240,0,813,Current
LN00000111,CU00004628,BR008,Personal,2025-09-19,1707280.85,1496853.18,13.08,60,15,744,Current
LN00000112,CU00002368,BR014,Vehicle,2025-11-25,1559150.91,1015097.35,13.77,60,30,700,Delinquent
LN00000113,CU00004556,BR011,Business,2024-04-11,1030063.88,126684.0,17.18,60,0,752,Current
LN00000114,CU00004511,BR020,Home,2026-01-03,2321858.97,1839046.82,15.33,60,0,731,Current
LN00000115,CU00000404,BR020,Home,2021-10-29,677368.12,319471.63,16.75,24,0,752,Current
LN00000116,CU00004450,BR001,Home,2024-07-18,994469.25,559674.32,14.09,120,0,613,Current
LN00000117,CU00002378,BR006,Business,2021-05-27,1675893.97,586500.19,14.04,12,0,686,Current
LN00000118,CU00003477,BR020,Home,2022-06-13,305895.64,144567.48,14.35,24,0,719,Current
LN00000119,CU00000328,BR005,Education,2025-08-12,9045374.86,1325115.03,18.66,240,0,850,Current
LN00000120,CU00004895,BR003,Home,2023-10-24,2814266.16,1456937.58,16.49,60,0,763,Current
LN00000121,CU00002857,BR007,Education,2026-01-11,462713.64,270251.3,15.02,240,0,703,Current
LN00000122,CU00000009,BR010,Personal,2024-08-27,488119.81,278307.65,12.81,12,0,818,Current
LN00000123,CU00004382,BR005,Personal,2021-08-13,187075.23,22968.56,10.57,60,0,776,Current
LN00000124,CU00002931,BR021,Home,2021-03-26,139609.0,71778.72,19.05,240,0,732,Current
LN00000125,CU00003068,BR015,Vehicle,2023-06-22,288288.13,142730.95,15.01,24,0,696,Current
LN00000126,CU00001026,BR006,Home,2024-06-19,474142.97,159653.38,8.97,36,0,715,Current
LN00000127,CU00004673,BR017,Personal,2024-05-03,870229.28,237005.1,17.42,180,0,786,Current
LN00000128,CU00004714,BR016,Home,2025-10-29,1085712.3,503053.13,14.18,12,0,682,Current
LN00000129,CU00001958,BR020,Personal,2021-05-11,424872.29,53053.26,13.14,12,0,775,Current
LN00000130,CU00002512,BR005,Personal,2021-12-08,340574.88,108688.3,15.97,240,0,534,Current
LN00000131,CU00002315,BR013,Education,2026-04-13,554150.07,308499.31,13.94,24,0,766,Current
LN00000132,CU00003552,BR016,Vehicle,2023-10-03,169379.69,143642.23,17.51,12,0,720,Current
LN00000133,CU00002225,BR020,Education,2022-12-15,680346.66,511444.54,16.67,36,90,707,Non-performing
LN00000134,CU00002779,BR008,Business,2024-12-22,500592.15,194927.08,8.37,24,0,718,Current
LN00000135,CU00001125,BR007,Home,2023-07-15,99171.37,33173.75,16.53,120,0,730,Current
LN00000136,CU00000027,BR021,Home,2024-12-24,1529252.29,1410692.31,8.55,120,0,727,Current
LN00000137,CU00002647,BR007,Vehicle,2023-11-11,445239.4,232917.31,8.34,36,0,823,Current
LN00000138,CU00001611,BR001,Business,2022-03-27,222623.69,52875.14,12.11,180,0,692,Current
LN00000139,CU00003748,BR014,Personal,2024-05-05,1403098.48,1042820.29,12.3,60,0,730,Current
LN00000140,CU00002393,BR018,Personal,2023-06-12,173447.35,102541.51,11.07,240,0,768,Current
LN00000141,CU00000240,BR013,Business,2024-10-14,149780.14,81475.91,16.92,240,0,695,Current
LN00000142,CU00003665,BR021,Business,2024-07-24,376780.5,148920.98,18.36,12,0,646,Current
LN00000143,CU00002887,BR012,Business,2024-11-04,126339.3,84693.01,9.96,240,0,621,Current
LN00000144,CU00003140,BR003,Home,2025-10-19,538022.28,184766.27,12.29,180,0,758,Current
LN00000145,CU00001440,BR007,Vehicle,2021-10-26,1925430.35,552773.96,15.49,24,90,656,Non-performing
LN00000146,CU00001372,BR018,Personal,2022-09-07,726553.09,167451.91,8.75,36,0,811,Current
LN00000147,CU00003454,BR011,Personal,2025-01-29,1696291.11,1536381.89,17.51,60,0,691,Current
LN00000148,CU00004168,BR003,Business,2025-11-27,1356136.66,1084368.14,17.24,12,0,833,Current
LN00000149,CU00002198,BR010,Vehicle,2022-09-17,50000.0,47638.0,18.59,120,0,787,Current
