balance_snapshot_id,snapshot_date,account_id,ending_balance
BS0000000001,2025-09-30,AC00000001,272795.01
BS0000000002,2025-09-30,AC00000002,112668.49
BS0000000003,2025-09-30,AC00000003,18442.82
BS0000000004,2025-09-30,AC00000004,9809.16
BS0000000005,2025-09-30,AC00000005,115135.62
BS0000000006,2025-09-30,AC00000006,128227.46
BS0000000007,2025-09-30,AC00000007,23008.02
BS0000000008,2025-09-30,AC00000008,19004.4
BS0000000009,2025-09-30,AC00000009,17202.65
BS0000000010,2025-09-30,AC00000010,145288.88
BS0000000011,2025-09-30,AC00000011,59459.38
BS0000000012,2025-09-30,AC00000012,196847.98
BS0000000013,2025-09-30,AC00000013,30986.15
BS0000000014,2025-09-30,AC00000014,9582.94
BS0000000015,2025-09-30,AC00000015,42485.46
BS0000000016,2025-09-30,AC00000016,21125.11
BS0000000017,2025-09-30,AC00000017,8105.95
BS0000000018,2025-09-30,AC00000018,46419.51
BS0000000019,2025-09-30,AC00000019,30847.92
BS0000000020,2025-09-30,AC00000020,44664.4
BS0000000021,2025-09-30,AC00000021,85397.99
BS0000000022,2025-09-30,AC00000022,29131.36
BS0000000023,2025-09-30,AC00000023,831156.43
BS0000000024,2025-09-30,AC00000024,16404.98
BS0000000025,2025-09-30,AC00000025,56086.79
BS0000000026,2025-09-30,AC00000026,18231.57
BS0000000027,2025-09-30,AC00000027,48531.46
BS0000000028,2025-09-30,AC00000028,48526.31
BS0000000029,2025-09-30,AC00000029,11332.29
BS0000000030,2025-09-30,AC00000030,4331.52
BS0000000031,2025-09-30,AC00000031,115132.6
BS0000000032,2025-09-30,AC00000032,19174.43
BS0000000033,2025-09-30,AC00000033,57429.94
BS0000000034,2025-09-30,AC00000034,30975.17
BS0000000035,2025-09-30,AC00000035,49118.66
BS0000000036,2025-09-30,AC00000036,49328.99
BS0000000037,2025-09-30,AC00000037,141416.22
BS0000000038,2025-09-30,AC00000038,18622.17
BS0000000039,2025-09-30,AC00000039,5207.26
BS0000000040,2025-09-30,AC00000040,31380.53
BS0000000041,2025-09-30,AC00000041,13867.39
BS0000000042,2025-09-30,AC00000042,97043.11
BS0000000043,2025-09-30,AC00000043,8722.94
BS0000000044,2025-09-30,AC00000044,48998.48
BS0000000045,2025-09-30,AC00000045,47190.81
BS0000000046,2025-09-30,AC00000046,10099.71
BS0000000047,2025-09-30,AC00000047,42548.55
BS0000000048,2025-09-30,AC00000048,138634.79
BS0000000049,2025-09-30,AC00000049,87648.78
BS0000000050,2025-09-30,AC00000050,620261.35
BS0000000051,2025-09-30,AC00000051,39277.89
BS0000000052,2025-09-30,AC00000052,59470.3
BS0000000053,2025-09-30,AC00000053,26470.69
BS0000000054,2025-09-30,AC00000054,12039.14
BS0000000055,2025-09-30,AC00000055,60249.44
BS0000000056,2025-09-30,AC00000056,8429.94
BS0000000057,2025-09-30,AC00000057,14539.42
BS0000000058,2025-09-30,AC00000058,3437.86
BS0000000059,2025-09-30,AC00000059,3075.85
BS0000000060,2025-09-30,AC00000060,42690.62
BS0000000061,2025-09-30,AC00000061,73195.02
BS0000000062,2025-09-30,AC00000062,22952.23
BS0000000063,2025-09-30,AC00000063,6180.82
BS0000000064,2025-09-30,AC00000064,114985.57
BS0000000065,2025-09-30,AC00000065,99676.85
BS0000000066,2025-09-30,AC00000066,19242.75
BS0000000067,2025-09-30,AC00000067,4896.87
BS0000000068,2025-09-30,AC00000068,157572.32
BS0000000069,2025-09-30,AC00000069,26045.92
BS0000000070,2025-09-30,AC00000070,21611.77
BS0000000071,2025-09-30,AC00000071,156878.37
BS0000000072,2025-09-30,AC00000072,46467.77
BS0000000073,2025-09-30,AC00000073,25699.93
BS0000000074,2025-09-30,AC00000074,20613.77
BS0000000075,2025-09-30,AC00000075,364218.92
BS0000000076,2025-09-30,AC00000076,6787.68
BS0000000077,2025-09-30,AC00000077,41920.48
BS0000000078,2025-09-30,AC00000078,106585.55
BS0000000079,2025-09-30,AC00000079,425493.11
BS0000000080,2025-09-30,AC00000080,113354.76
BS0000000081,2025-09-30,AC00000081,91375.53
BS0000000082,2025-09-30,AC00000082,25930.55
BS0000000083,2025-09-30,AC00000083,44304.24
BS0000000084,2025-09-30,AC00000084,38622.84
BS0000000085,2025-09-30,AC00000085,12976.66
BS0000000086,2025-09-30,AC00000086,6886.55
BS0000000087,2025-09-30,AC00000087,165767.82
BS0000000088,2025-09-30,AC00000088,27648.31
BS0000000089,2025-09-30,AC00000089,6932.83
BS0000000090,2025-09-30,AC00000090,7028.92
BS0000000091,2025-09-30,AC00000091,26826.17
BS0000000092,2025-09-30,AC00000092,38508.84
BS0000000093,2025-09-30,AC00000093,21671.49
BS0000000094,2025-09-30,AC00000094,44531.16
BS0000000095,2025-09-30,AC00000095,48388.81
BS0000000096,2025-09-30,AC00000096,3021.69
BS0000000097,2025-09-30,AC00000097,21452.18
BS0000000098,2025-09-30,AC00000098,1291.89
BS0000000099,2025-09-30,AC00000099,90089.27
BS0000000100,2025-09-30,AC00000100,66773.73
BS0000000101,2025-09-30,AC00000101,68989.46
BS0000000102,2025-09-30,AC00000102,18315.4
BS0000000103,2025-09-30,AC00000103,13663.09
BS0000000104,2025-09-30,AC00000104,932696.04
BS0000000105,2025-09-30,AC00000105,184966.64
BS0000000106,2025-09-30,AC00000106,19681.49
BS0000000107,2025-09-30,AC00000107,17195.72
BS0000000108,2025-09-30,AC00000108,17422.35
BS0000000109,2025-09-30,AC00000109,6588.84
BS0000000110,2025-09-30,AC00000110,267748.04
BS0000000111,2025-09-30,AC00000111,6503.95
BS0000000112,2025-09-30,AC00000112,7741.67
BS0000000113,2025-09-30,AC00000113,3712.9
BS0000000114,2025-09-30,AC00000114,22966.18
BS0000000115,2025-09-30,AC00000115,175249.03
BS0000000116,2025-09-30,AC00000116,48855.16
BS0000000117,2025-09-30,AC00000117,6514.71
BS0000000118,2025-09-30,AC00000118,11691.28
BS0000000119,2025-09-30,AC00000119,284180.54
BS0000000120,2025-09-30,AC00000120,22398.6
BS0000000121,2025-09-30,AC00000121,51463.31
BS0000000122,2025-09-30,AC00000122,34197.11
BS0000000123,2025-09-30,AC00000123,6161.68
BS0000000124,2025-09-30,AC00000124,14749.33
BS0000000125,2025-09-30,AC00000125,106749.72
BS0000000126,2025-09-30,AC00000126,35782.59
BS0000000127,2025-09-30,AC00000127,18463.58
BS0000000128,2025-09-30,AC00000128,41465.58
BS0000000129,2025-09-30,AC00000129,47293.73
BS0000000130,2025-09-30,AC00000130,27395.78
BS0000000131,2025-09-30,AC00000131,5957.77
BS0000000132,2025-09-30,AC00000132,18002.86
BS0000000133,2025-09-30,AC00000133,96768.64
BS0000000134,2025-09-30,AC00000134,7682.62
BS0000000135,2025-09-30,AC00000135,41726.4
BS0000000136,2025-09-30,AC00000136,35627.23
BS0000000137,2025-09-30,AC00000137,58880.92
BS0000000138,2025-09-30,AC00000138,4442.63
BS0000000139,2025-09-30,AC00000139,22185.54
BS0000000140,2025-09-30,AC00000140,57057.25
BS0000000141,2025-09-30,AC00000141,308748.93
BS0000000142,2025-09-30,AC00000142,1712.25
BS0000000143,2025-09-30,AC00000143,17384.39
BS0000000144,2025-09-30,AC00000144,24455.13
BS0000000145,2025-09-30,AC00000145,12048.14
BS0000000146,2025-09-30,AC00000146,193394.01
BS0000000147,2025-09-30,AC00000147,61679.58
BS0000000148,2025-09-30,AC00000148,104470.88
BS0000000149,2025-09-30,AC00000149,72465.83
BS0000000150,2025-09-30,AC00000150,38191.1
BS0000000151,2025-09-30,AC00000151,51807.98
BS0000000152,2025-09-30,AC00000152,5168.24
BS0000000153,2025-09-30,AC00000153,86714.45
BS0000000154,2025-09-30,AC00000154,5991.2
BS0000000155,2025-09-30,AC00000155,9954.76
BS0000000156,2025-09-30,AC00000156,17650.47
BS0000000157,2025-09-30,AC00000157,82214.81
BS0000000158,2025-09-30,AC00000158,9929.65
BS0000000159,2025-09-30,AC00000159,10515.42
BS0000000160,2025-09-30,AC00000160,16376.41
BS0000000161,2025-09-30,AC00000161,42640.45
BS0000000162,2025-09-30,AC00000162,172118.48
BS0000000163,2025-09-30,AC00000163,7404.35
BS0000000164,2025-09-30,AC00000164,9332.55
BS0000000165,2025-09-30,AC00000165,15817.22
BS0000000166,2025-09-30,AC00000166,640355.31
BS0000000167,2025-09-30,AC00000167,203204.3
BS0000000168,2025-09-30,AC00000168,395722.77
BS0000000169,2025-09-30,AC00000169,29606.22
