transaction_id,account_id,transaction_ts,transaction_type,channel,merchant_category,amount,status,risk_score,is_high_risk
TX0000000001,AC00004437,2025-08-05 20:04:48,Credit,UPI,Education,2230.27,Completed,0.0755,0
TX0000000002,AC00006022,2026-08-13 21:26:48,Debit,POS,E-commerce,2300.38,Completed,0.0006,0
TX0000000003,AC00004150,2026-03-09 02:09:48,Debit,Internet Banking,Grocery,2928.73,Completed,0.0328,0
TX0000000004,AC00000806,2025-11-24 04:30:42,Credit,UPI,Transfer,364.74,Completed,0.0055,0
TX0000000005,AC00001117,2025-12-05 21:42:04,Credit,POS,Utilities,2069.54,Completed,0.0202,0
TX0000000006,AC00004229,2024-09-27 09:07:51,Credit,ATM,Healthcare,1440.64,Completed,0.0629,0
TX0000000007,AC00001330,2024-10-12 07:03:29,Debit,Internet Banking,Transfer,16468.85,Completed,0.001,0
TX0000000008,AC00006585,2025-08-30 11:01:26,Debit,Mobile Banking,Utilities,28814.93,Completed,0.0121,0
TX0000000009,AC00005345,2025-11-22 15:12:00,Credit,UPI,Education,8852.05,Completed,0.1612,0
TX0000000010,AC00004049,2025-06-18 12:20:38,Debit,POS,Grocery,3557.94,Completed,0.2259,0
TX0000000011,AC00002170,2025-09-17 20:09:22,Debit,Mobile Banking,E-commerce,3334.18,Completed,0.0018,0
TX0000000012,AC00003898,2026-02-20 09:48:30,Debit,UPI,E-commerce,18826.78,Completed,0.0375,0
TX0000000013,AC00002317,2025-01-16 20:26:00,Debit,POS,Fuel,9693.37,Completed,0.125,0
TX0000000014,AC00000737,2026-07-28 05:20:19,Debit,UPI,Education,1201.72,Completed,0.0915,0
TX0000000015,AC00006893,2026-06-04 08:01:53,Credit,UPI,Utilities,4918.8,Completed,0.0,0
TX0000000016,AC00001774,2024-09-01 06:31:15,Debit,POS,E-commerce,6081.32,Completed,0.1953,0
TX0000000017,AC00006653,2025-07-30 15:44:13,Debit,POS,Travel,340.27,Completed,0.1857,0
TX0000000018,AC00001400,2025-09-17 06:59:13,Credit,ATM,Education,2620.96,Completed,0.1055,0
TX0000000019,AC00003512,2026-08-29 16:28:31,Credit,UPI,Fuel,621.92,Completed,0.1896,0
TX0000000020,AC00002704,2026-08-08 15:58:13,Credit,UPI,Transfer,16142.39,Completed,0.0185,0
TX0000000021,AC00005095,2025-04-22 05:35:26,Credit,POS,Fuel,14192.13,Completed,0.0646,0
TX0000000022,AC00005127,2026-01-01 07:15:17,Debit,UPI,Utilities,7201.88,Completed,0.0205,0
TX0000000023,AC00001235,2025-07-31 06:11:43,Credit,Branch,Education,7472.9,Completed,0.1008,0
